county_fips,svi_county,svi_location,rpl_themes,rpl_theme1,rpl_theme2,rpl_theme3,rpl_theme4,ep_pov150,ep_unemp,ep_nohsdp,ep_uninsur,ep_age65,ep_disabl,ep_minrty,ep_limeng,ep_noveh,ep_groupq
48243,Jeff Davis County,"Jeff Davis County, Texas",0.4738,0.5046,0.4725,0.5558,0.3602,33,0,14.3,17.2,41.7,15.2,21.9,7.1,2.7,2.1
48245,Jefferson County,"Jefferson County, Texas",0.9723,0.9313,0.924,0.9259,0.929,29.2,5.4,15.2,20.8,14.9,15.1,61.6,4.8,7.4,6.1
48247,Jim Hogg County,"Jim Hogg County, Texas",0.6427,0.8991,0.1941,0.9933,0.2294,48.5,4.5,21.4,27.1,8.4,13.5,90,0.9,4.9,0.9
48249,Jim Wells County,"Jim Wells County, Texas",0.9491,0.9415,0.9822,0.9847,0.5431,34.6,5.2,21.7,20.2,15.8,17.3,82.3,3.5,7.6,1
48251,Johnson County,"Johnson County, Texas",0.6284,0.5511,0.6083,0.6911,0.6083,18,3.5,13.6,16.5,14,10.8,31.9,3,2.4,1.6
48253,Jones County,"Jones County, Texas",0.5829,0.7722,0.2265,0.8075,0.3633,26.1,4.7,19.2,19.3,15.6,17.4,42.9,1.9,3.6,31.5
48255,Karnes County,"Karnes County, Texas",0.9367,0.8155,0.6042,0.9491,0.9978,29.7,5.3,23.9,16.3,14.4,13.5,67.2,6.3,8.8,24.9
48257,Kaufman County,"Kaufman County, Texas",0.7089,0.7076,0.7006,0.8225,0.4629,18.4,4.9,13.7,13.6,11.2,10.9,44.3,1.9,3.2,1
48259,Kendall County,"Kendall County, Texas",0.3411,0.2809,0.4152,0.6624,0.321,11.5,4.8,7.5,12,19.6,11.5,29.8,3.4,2.6,1.3
48261,Kenedy County,"Kenedy County, Texas",0.6678,0.6449,0.9917,1,0.0426,51.7,0,66.7,18.1,36.2,25,98.3,36.4,0,4.3
48263,Kent County,"Kent County, Texas",0.2393,0.1486,0.7531,0.4779,0.146,9.2,5.4,11.5,4.2,37.3,20.1,17.3,0.3,2.8,9.9
48265,Kerr County,"Kerr County, Texas",0.7442,0.6322,0.5733,0.7105,0.8393,22.9,3.3,10.3,18.1,27.9,16.1,33.7,1.6,4.4,3.7
48267,Kimble County,"Kimble County, Texas",0.4948,0.531,0.566,0.6532,0.2714,27.9,0.8,14.7,17.9,28,18.8,29,1.3,4.2,0.8
48269,King County,"King County, Texas",0.4438,0.6764,0.8056,0.7464,0.0092,40.3,4.5,21.3,10.6,13,12.5,37,7.4,0,0
